"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 21:39:40 CST 2021","Mon Jul 26 21:39:40 CST 2021","0","testcase.product","test_mashang","","","","test_huahua",""
"passed","Mon Jul 26 21:39:40 CST 2021","Mon Jul 26 21:39:40 CST 2021","0","testcase.user","test_mashang2","","","","test_huahua",""
"failed","Mon Jul 26 21:39:40 CST 2021","Mon Jul 26 21:39:40 CST 2021","0","testcase.user","test_mashang2","","","","test_huahua1",""
